"3M Company","BCUSCAT","COA",,325520,327910,326130,339114,334412,334413,334416,334417,334418,334419,334290,33592,334112,334118,334510,339112,327120,327110,325612,334613,334614
"Aalfs Manufacturing, Inc. ","BCUSCAT",,,315210,,,,,,,,,,,,,,,,,,,,
"ABB","CMAC2",,,335311,335313,335314,334416,334417,334419,221121,333612,333613,333618,334512,334513,335312,334413,,,,,,,
"Abbott Laboratories","COA",,,339115,325411,325412,325413,325414,,,,,,,,,,,,,,,,
"Agriculture Sciences, Inc. ","BCUSCAT",,,325320,325311,325312,,,,,,,,,,,,,,,,,,
"Agron","USHMC2",,,315220,325240,315990,,,,,,,,,,,,,,,,,,
"Allen Global Holdings","COA",,,333413,324110,,,,,,,,,,,,,,,,,,,
"Altria Group, Inc. ","BCUSCAT","CMAC2",,312230,,,,,,,,,,,,,,,,,,,,
"American & Efird, Inc. ","BCUSCAT",,,313110,,,,,,,,,,,,,,,,,,,,
"American Textile Company ","BCUSCAT",,,314120,,,,,,,,,,,,,,,,,,,,
"Anheuser-Busch, Cos. Inc.","COA",,,312120,,,,,,,,,,,,,,,,,,,,
"Archer Daniels Midland Co.","COA",,,311340,311351,311612,31181,311821,311224,311211,311212,311221,311111,311119,325193,325180,325194,325199,322110,,,,,
"Artwood Puller International","BCUSCAT",,,333249,,,,,,,,,,,,,,,,,,,,
"Asheboro Elastics Corp ","BCUSCAT",,,313220,,,,,,,,,,,,,,,,,,,,
"Atlantis International Inc. ","BCUSCAT",,,325998,324110,324191,,,,,,,,,,,,,,,,,,
"Atlas Rapid-Rack ","BCUSCAT",,,331318,332313,332618,334417,,,,,,,,,,,,,,,,,
"Avery Dennison Corp. ","BCUSCAT",,,323111,326112,322220,,,,,,,,,,,,,,,,,,
"Avon Products, Inc.","COA",,,325620,,,,,,,,,,,,,,,,,,,,
"Bacardi USA Inc. ","BCUSCAT",,,312140,312130,,,,,,,,,,,,,,,,,,,
"Bemis Manufacturing Company ","BCUSCAT",,,326191,321999,326199,326121,326122,339113,339114,334514,332911,332912,,,,,,,,,,,
"Bert & Wetta Sales, Inc. ","BCUSCAT",,,311119,,,,,,,,,,,,,,,,,,,,
"BIC Corporation","COA",,,339940,332215,339999,,,,,,,,,,,,,,,,,,
"Boeing Company ","BCUSCAT","COA",,336411,336412,336413,336414,336415,336419,,,,,,,,,,,,,,,
"Bristol-Myers Squibb Co. ","BCUSCAT",,,325411,325412,325413,325414,,,,,,,,,,,,,,,,,
"Brown-Forman","CMAC2",,,312130,312140,,,,,,,,,,,,,,,,,,,
"Buhler Quality Yarns Corp. ","BCUSCAT",,,313110,,,,,,,,,,,,,,,,,,,,
"Bunge","COA",,,311211,311212,311221,311224,311225,311111,311119,311230,311830,311821,311821,311919,311941,325520,325998,324110,325193,,,,
"Burlington Apparel Group","BCUSCAT",,,313110,313210,313220,313230,313240,313330,313320,315110,315190,315210,315220,315240,315280,315990,,,,,,,
"Burlington House Fabrics ","BCUSCAT",,,313110,313210,313220,313230,313240,313330,313320,,,,,,,,,,,,,,
"Campbell Soup Company","CMAC2",,,311421,311422,311991,31194,312111,311919,311919,,,,,,,,,,,,,,
"Cargill, Inc. ","BCUSCAT","COA","CMAC2",311211,311212,311221,311224,311225,311351,311611,311612,311613,311615,311930,31194,311314,111920,111120,111140,111150,111199,325211,324191,
"Carole Wren Inc. ","BCUSCAT",,,315240,,,,,,,,,,,,,,,,,,,,
"Caterpillar, Inc. ","BCUSCAT","COA","CMAC2",333111,333120,333131,333132,333618,333611,33612,335312,,,,,,,,,,,,,
"Chevron ","BCUSCAT","COA","CMAC2",211111,324110,324191,324199,325110,325180,325199,211112,,,,,,,,,,,,,
"Chiquita Brands International, Inc.","COA",,,111339,311421,311423,,,,,,,,,,,,,,,,,,
"Cisco Systems, Inc. ","BCUSCAT","COA",,334210,334290,,,,,,,,,,,,,,,,,,,
"Coats North America","BCUSCAT",,,313110,313220,,,,,,,,,,,,,,,,,,,
"Coca-Cola Company ","BCUSCAT","COA",,312111,312112,,,,,,,,,,,,,,,,,,,
"Colgate-Palmolive","COA",,,325620,325412,325611,325612,311111,,,,,,,,,,,,,,,,
"Cone Denin","BCUSCAT",,,313210,,,,,,,,,,,,,,,,,,,,
"ConocoPhillips","COA",,,211111,324110,324191,324199,325110,211112,,,,,,,,,,,,,,,
"ContiGroup Companies, Inc.","COA",,,,,,,,,,,,,,,,,,,,,,,
"Corning Incorporated","COA",,,327212,327213,327215,333314,335921,,,,,,,,,,,,,,,,
"Crompton Corporation","COA",,,325211,325998,325412,,,,,,,,,,,,,,,,,,
"Crystal","USHMC2",,,,,,,,,,,,,,,,,,,,,,,
"DaimlerChrysler","COA",,,336111,336112,336310,336320,336330,336340,336350,336360,,,,,,,,,,,,,
"Dan River, Inc. ","BCUSCAT",,,313210,313240,,,,,,,,,,,,,,,,,,,
"D.D. Williamson","CMAC2",,,311942,,,,,,,,,,,,,,,,,,,,
"Dega International ","BCUSCAT",,,332420,333924,336212,,,,,,,,,,,,,,,,,,
"Detex Corporation","CMAC2",,,332510,321911,321918,332321,332999,335999,334290,,,,,,,,,,,,,,
"Diageo North America, Inc. ","BCUSCAT","CMAC2",,312140,,,,,,,,,,,,,,,,,,,,
"Dillon Yarn ","BCUSCAT",,,313110,313210,,,,,,,,,,,,,,,,,,,
"Eastman Chemical Company","COA",,,325220,325194,325520,325211,325180,325212,325199,,,,,,,,,,,,,,
"Eastman Kodak Company ","BCUSCAT","COA",,334118,322320,325992,325992,,,,,,,,,,,,,,,,,
"EDS","CMAC2",,,334111,334112,334118,,,,,,,,,,,,,,,,,,
"Elanco","CMAC2",,,325411,325412,325413,325414,,,,,,,,,,,,,,,,,
"Eli Lilly and Company","COA","CMAC2",,325411,325412,325413,325414,,,,,,,,,,,,,,,,,
"Emerson","BCUSCAT",,,335314,334519,335314,334513,334514,33291,334514,33512,335311,333992,333249,333613,335312,335313,333318,333413,333414,335210,333991,,
"Equimed of Dallas, Inc. ","BCUSCAT",,,339112,339113,,,,,,,,,,,,,,,,,,,
"Exxon Mobil Corporation","BCUSCAT","COA",,211111,211112,324110,325110,,,,,,,,,,,,,,,,,
"Filtration Technology Corporation ","BCUSCAT",,,333249,333913,333999,322299,,,,,,,,,,,,,,,,,
"Flowserve Inc. ","BCUSCAT",,,333911,332911,333995,333996,333611,334118,339991,,,,,,,,,,,,,,
"FMC","COA",,,,,,,,,,,,,,,,,,,,,,,
"Fonterra","CMAC2",,,311511,311512,311513,311514,311520,,,,,,,,,,,,,,,,
"Ford Motor Company","COA",,,336111,336112,336310,336320,336330,336340,336350,336360,,,,,,,,,,,,,
"Frontier Spinning ","BCUSCAT",,,313110,,,,,,,,,,,,,,,,,,,,
"Gap Inc. ","BCUSCAT","COA",,315110,315190,315210,315220,315240,315280,315990,,,,,,,,,,,,,,
"General Electric ","BCUSCAT","COA","CMAC2",335210,33522,336412,336413,336415,336419,335110,33512,333611,333132,333131,335210,33461,334210,335312,333618,325520,32541,,,
"GeniCon","BCUSCAT",,,339112,,,,,,,,,,,,,,,,,,,,
"Georgia Narrow Fabrics, LLC","BCUSCAT",,,313220,,,,,,,,,,,,,,,,,,,,
"General Motors Latin American Operations","COA",,,336111,336112,336120,336211,336310,336320,336330,336340,336350,336360,336370,336390,,,,,,,,,
"Gerber Technology ","BCUSCAT",,,333249,333515,333519,333921,333922,333923,333924,333993,333249,334513,334519,,,,,,,,,,
"The Goodyear Tire & Rubber Company","COA",,,326211,326299,,,,,,,,,,,,,,,,,,,
"Goya Foods, Inc. ","BCUSCAT",,,311422,311212,311942,311421,311224,311423,311999,311920,312111,311212,311824,311919,311821,311615,311411,311412,,,,,
"Guardian Industries Corp.","COA",,,327215,327211,327212,,,,,,,,,,,,,,,,,,
"H.J. Heinz Company ","BCUSCAT","CMAC2",,311421,311941,311411,311412,311422,311514,,,,,,,,,,,,,,,
"Harodite Industries, Inc. ","BCUSCAT",,,313230,313210,313240,313110,313230,,,,,,,,,,,,,,,,
"Henderson Sewing Machine Co. Inc. ","BCUSCAT",,,333249,333318,333515,,,,,,,,,,,,,,,,,,
"Hewlett-Packard Company ","BCUSCAT",,,334111,334112,334118,325910,,,,,,,,,,,,,,,,,
"Honeywell International Inc.","COA",,,334512,335210,334290,335312,336320,334511,334519,,,,,,,,,,,,,,
"Hormel Foods Corporation ","BCUSCAT",,,311911,311919,311612,,,,,,,,,,,,,,,,,,
"Hospira, Ltd. ","BCUSCAT",,,339112,325411,325412,325413,325414,,,,,,,,,,,,,,,,
"Hyde Tools, Inc. ","BCUSCAT",,,333912,332216,333120,339994,,,,,,,,,,,,,,,,,
"IBM Corporation ","BCUSCAT","COA",,334111,334112,334118,333318,334413,,,,,,,,,,,,,,,,
"Intel Corporation","BCUSCAT",,,334412,334413,334416,334417,334418,334419,334111,334112,334118,334210,334290,,,,,,,,,,
"International Chem-Crete","CMAC2",,,325510,325520,,,,,,,,,,,,,,,,,,,
"International Textile Group","BCUSCAT",,,313210,,,,,,,,,,,,,,,,,,,,
"Intradeco Inc. ","BCUSCAT",,,313110,313210,313220,313230,313240,313330,313320,315110,315190,315210,315220,315240,315280,315990,,,,,,,
"Invista","BCUSCAT",,,313110,325220,325211,313210,,,,,,,,,,,,,,,,,
"Jockey International, Inc.","BCUSCAT",,,315240,315220,315110,,,,,,,,,,,,,,,,,,
"Johnson & Johnson ","BCUSCAT","COA",,325611,325620,32541,339112,339113,,,,,,,,,,,,,,,,
"Kappler ","BCUSCAT",,,339113,,,,,,,,,,,,,,,,,,,,
"Keeton Products","BCUSCAT",,,333111,,,,,,,,,,,,,,,,,,,,
"Kellwood Company ","BCUSCAT","USHMC2",,315240,315220,315210,,,,,,,,,,,,,,,,,,
"Kraft Foods, Inc. ","BCUSCAT","COA",,311340,311930,311941,311824,311511,311920,311612,311513,311911,311421,311919,311999,,,,,,,,,
"Kufner International ","BCUSCAT",,,313210,313230,,,,,,,,,,,,,,,,,,,
"Leather Specialty Company ","BCUSCAT",,,316110,316992,316998,,,,,,,,,,,,,,,,,,
"Levi Strauss & Co. ","BCUSCAT",,,315210,315220,315240,,,,,,,,,,,,,,,,,,
"Lexmark International Inc. ","BCUSCAT",,,334118,325910,325992,,,,,,,,,,,,,,,,,,
"Lion Brothers Co. Inc. ","BCUSCAT",,,313110,313220,314999,,,,,,,,,,,,,,,,,,
"Liz Claiborne, Inc. ","BCUSCAT",,,325620,,,,,,,,,,,,,,,,,,,,
"Lucent Technologies","COA",,,238210,334417,335921,,,,,,,,,,,,,,,,,,
"Mainzer Minton International","BCUSCAT",,,313210,,,,,,,,,,,,,,,,,,,,
"Mariebelle Chocolates ","BCUSCAT",,,311351,,,,,,,,,,,,,,,,,,,,
"Mars Inc. ","BCUSCAT","CMAC2",,311340,311351,311111,311212,311230,311412,311421,311422,311824,311919,311920,,,,,,,,,,
"Maytag","BCUSCAT",,,335210,335221,335222,335224,335228,333413,333414,333415,,,,,,,,,,,,,
"McGraw Hill Companies","COA","MGH",,,,,,,,,,,,,,,,,,,,,,
"MeadWestvaco Corporation","COA",,,322212,322220,326112,,,,,,,,,,,,,,,,,,
"Medtronic, Inc. ","CMAC2",,,334510,339112,325620,,,,,,,,,,,,,,,,,,
"Merck & Co., Inc. ","BCUSCAT","COA",,325411,325412,325413,325414,,,,,,,,,,,,,,,,,
"Microsoft","BCUSCAT",,,334111,334112,334118,334210,334220,,,,,,,,,,,,,,,,
"Mine Safety Appliances Company","COA",,,339115,339113,334516,334519,,,,,,,,,,,,,,,,,
"Moog Inc., Aircraft Group","BCUSCAT",,,336412,336413,336415,336419,334511,334513,333995,336320,334417,334511,339112,334412,334417,334418,334419,332722,,,,,
"Mosaic Corporation ","BCUSCAT",,,325312,325180,212391,311119,,,,,,,,,,,,,,,,,
"Motorola","BCUSCAT",,,334210,334290,,,,,,,,,,,,,,,,,,,
"Mountain High Hosiery Ltd. ","BCUSCAT","USHMC2",,315110,,,,,,,,,,,,,,,,,,,,
"National Textiles, LLC","BCUSCAT",,,313110,313220,313240,,,,,,,,,,,,,,,,,,
"NCR Corporation ","BCUSCAT",,,334118,333314,333316,333318,,,,,,,,,,,,,,,,,
"Nestle USA","BCUSCAT","COA",,311352,311514,311421,311351,311340,311920,311511,311999,311520,311991,311412,,,,,,,,,,
"Nike Inc. ","BCUSCAT",,,316210,315110,315190,315210,315220,315240,315990,,,,,,,,,,,,,,
"Nortel Networks Corporation","BCUSCAT",,,334210,334220,334417,,,,,,,,,,,,,,,,,,
"Oracle Corporation","BCUSCAT",,,334111,334112,334118,,,,,,,,,,,,,,,,,,
"OshKosh B'Gosh","BCUSCAT",,,315110,315190,315210,315220,315240,315280,,,,,,,,,,,,,,,
"Oxford Industries ","BCUSCAT",,,315210,315220,315240,315280,,,,,,,,,,,,,,,,,
"Partex Apparel Manufacturing Inc. ","BCUSCAT",,,315110,315190,315210,315220,315240,315280,,,,,,,,,,,,,,,
"Paxar Corporation","BCUSCAT",,,339940,313220,322220,,,,,,,,,,,,,,,,,,
"Pennsylvania Sewing Research ","BCUSCAT",,,333249,,,,,,,,,,,,,,,,,,,,
"PepsiCo Inc. ","BCUSCAT","COA",,312111,312112,311919,311230,311411,,,,,,,,,,,,,,,,
"Perry Ellis International","BCUSCAT",,,315110,315190,315210,315220,315240,315280,,,,,,,,,,,,,,,
"Pfizer Inc. ","BCUSCAT","COA","CMAC2",325411,325412,325413,325414,,,,,,,,,,,,,,,,,
"Pharmacia Corporation","COA",,,325412,325411,,,,,,,,,,,,,,,,,,,
"Polar Industries ","BCUSCAT",,,325211,326140,,,,,,,,,,,,,,,,,,,
"Polo Ralph Lauren","BCUSCAT",,,315110,315190,315210,315220,315240,315280,,,,,,,,,,,,,,,
"POS All Services ","BCUSCAT",,,333314,333316,333318,,,,,,,,,,,,,,,,,,
"Praxair, Inc.","COA",,,325120,,,,,,,,,,,,,,,,,,,,
"Precision Custom Coatings ","BCUSCAT",,,313230,313210,313320,,,,,,,,,,,,,,,,,,
"Precision Fabrics Group","BCUSCAT",,,313230,313210,,,,,,,,,,,,,,,,,,,
"The Procter & Gamble Company","COA",,,325620,325611,322291,325411,325412,325413,325414,,,,,,,,,,,,,,
"PSEG Americas","COA",,,,,,,,,,,,,,,,,,,,,,,
"Qtel Americas, Inc. ","BCUSCAT",,,,,,,,,,,,,,,,,,,,,,,
"Quaker Fabric Corporation","COA",,,313110,313210,,,,,,,,,,,,,,,,,,,
"QUALCOMM, Inc. ","BCUSCAT",,,334210,334220,334290,334413,334418,334419,,,,,,,,,,,,,,,
"Raytheon Company","COA",,,334511,336414,336415,336419,,,,,,,,,,,,,,,,,
"Reed Manufacturing","BCUSCAT",,,333517,313515,333996,332216,,,,,,,,,,,,,,,,,
"Renfro Inc.","USHMC2",,,315110,,,,,,,,,,,,,,,,,,,,
"Rio Grande Foods, Inc. ","BCUSCAT",,,312111,311421,311511,311812,311212,311340,311821,311422,311919,311423,311830,311942,311412,311411,311513,311511,,,,,
"Riviana Foods Inc. ","BCUSCAT",,,311212,,,,,,,,,,,,,,,,,,,,
"Rocky Shoes & Boots, Inc. ","BCUSCAT",,,316210,315220,315240,315990,,,,,,,,,,,,,,,,,
"Roka Apparel Products, LLC","BCUSCAT",,,315110,,,,,,,,,,,,,,,,,,,,
"Russell Corporation","BCUSCAT",,,339920,315220,315240,315990,,,,,,,,,,,,,,,,,
"Sal-Bee Machines International ","BCUSCAT",,,333249,,,,,,,,,,,,,,,,,,,,
"Sara Lee Branded Apparel","USHMC2",,,315110,315190,315240,315220,,,,,,,,,,,,,,,,,
"Sara Lee Corporation","BCUSCAT",,,311812,311513,311615,311612,,,,,,,,,,,,,,,,,
"SAS Global","BCUSCAT",,,332410,332420,333131,333132,333249,,,,,,,,,,,,,,,,
"Schreiber & Goldberg ","BCUSCAT",,,333318,,,,,,,,,,,,,,,,,,,,
"Schreiber LLC","BCUSCAT",,,333318,,,,,,,,,,,,,,,,,,,,
"Sears, Roebuck and Co. ","BCUSCAT",,,315110,315190,315210,315220,315240,315280,332216,333991,,,,,,,,,,,,,
"Schering-Plough Corporation","COA",,,325411,325412,325413,325414,,,,,,,,,,,,,,,,,
"Seaboard Company","CMAC2",,,311611,311612,,,,,,,,,,,,,,,,,,,
"Sherpa ","BCUSCAT",,,,,,,,,,,,,,,,,,,,,,,
"Sherpa's Pet Trading Company ","BCUSCAT",,,316998,,,,,,,,,,,,,,,,,,,,
"Silverman Machines International","BCUSCAT",,,333249,,,,,,,,,,,,,,,,,,,,
"SMC Inc. ","BCUSCAT",,,333995,332912,332420,334512,334513,334519,331511,332912,332913,334512,,,,,,,,,,,
"Sony","BCUSCAT",,,334111,334310,333316,334220,339930,334413,334112,334210,334613,334290,333314,316998,,,,,,,,,
"Sosa Corp. ","BCUSCAT",,,,,,,,,,,,,,,,,,,,,,,
"Spectrum Dyed Yarns, Inc. ","BCUSCAT",,,313110,,,,,,,,,,,,,,,,,,,,
"Spiller Operating Company, Inc. ","BCUSCAT",,,213111,,,,,,,,,,,,,,,,,,,,
"Style Source, Inc. ","BCUSCAT",,,315210,315220,315240,,,,,,,,,,,,,,,,,,
"Texas Instruments Incorporated ","BCUSCAT",,,334412,334413,334416,334417,334418,334419,334111,334112,334118,334511,334512,334513,,,,,,,,,
"The Proctor and Gamble Company ","BCUSCAT","CMAC2",,325620,325611,322291,325411,325412,325413,325414,,,,,,,,,,,,,,
"Tuscarora Yarns, Inc. ","BCUSCAT",,,313110,,,,,,,,,,,,,,,,,,,,
"Tyson Foods","CMAC2",,,311615,311611,311612,311824,311830,311941,311999,,,,,,,,,,,,,,
"Unifi, Inc. ","BCUSCAT",,,313110,,,,,,,,,,,,,,,,,,,,
"Unilever U.S. ","BCUSCAT","CMAC2",,325620,311520,311512,311919,311941,311942,,,,,,,,,,,,,,,
"United Technologies Corporation ","BCUSCAT",,,333921,333922,333413,333414,333415,,,,,,,,,,,,,,,,
"Valdor, Inc. ","BCUSCAT",,,327212,334417,335313,335931,,,,,,,,,,,,,,,,,
"VF Intimates, L.P. ","BCUSCAT",,,315240,,,,,,,,,,,,,,,,,,,,
"Vintage Petroleum, Inc.","COA",,,211111,211112,,,,,,,,,,,,,,,,,,,
"Warnaco ","BCUSCAT",,,315190,315210,315220,315240,315280,315990,316210,316998,,,,,,,,,,,,,
"Williamson-Dickie Mfg. Co. ","BCUSCAT",,,315220,315240,315110,316210,,,,,,,,,,,,,,,,,
"Wilson Machine Knife ","BCUSCAT",,,333515,332216,,,,,,,,,,,,,,,,,,,
"W.W. Grainger, Inc","COA",,,,,,,,,,,,,,,,,,,,,,,
"Xerox Corporation ","BCUSCAT","COA",,334118,325992,325910,,,,,,,,,,,,,,,,,,
"YKK Corporation of America ","BCUSCAT",,,339993,,,,,,,,,,,,,,,,,,,,
