"3M Company","USSFTC","USABC",,,325520,327910,326130,339114,334412,334413,334416,334417,334418,334419,334290,33592,334112,334118,334510,339112,327120,327110,325612,334613,334614,
"ABB","USABC",,,,335311,335313,335314,334416,334417,334419,221121,333612,333613,333618,334512,334513,335312,334413,,,,,,,,
"Abbot Laboratories","USABC",,,,339115,325411,325412,325413,325414,,,,,,,,,,,,,,,,,
"Affymetrix","USABC",,,,334516,325413,325411,325412," ",,,,,,,,,,,,,,,,,
"Agilent Technologies","USABC","USSFTC",,,334510,334516,339115,325411,325412,325413,325414,,,,,,,,,,,,,,,
"Air Products and Chemicals Inc","USABC",,,,325120,325180,325613,325211,325510,325520,325991,,,,,,,,,,,,,,,
"Amway Corporation","USABC","USSFTC",,,325620,325611,325612,325411,325412,325413,325414,,,,,,,,,,,,,,,
"Avon Products, Inc.","USABC",,,,325620,,,,,,,,,,,,,,,,,,,,,
"Boeing Company","CT1","USITC1","USABC/USSFTC",,336411,336412,336413,336414,336415,336419,,,,,,,,,,,,,,,,
"BP","USABC",,,,211111,211112,324110,324121,324191,324199,325110,,,,,,,,,,,,,,,
"Bristol-Myers Squibb Company","USABC","USSFTC",,,325411,325412,325413,325414,,,,,,,,,,,,,,,,,,
"Campbell Soup company","USABC",,,,311421,311422,311991,31194,312111,311919,311919,,,,,,,,,,,,,,,
"Cargill","USABC","USSFTC",,,311211,311212,311221,311224,311225,311351,311611,311612,311613,311615,311930,31194,311314,111920,111120,111140,111150,111199,325211,324191,,
"Caterpillar","USABC","USSFTC",,,333111,333120,333131,333132,333618,333611,33612,335312,,,,,,,,,,,,,,
"Chavilah","USSFTC",,,,311421,311422,311423,312111,312112,,,,,,,,,,,,,,,,,
"Coca Cola Company ",,,,,312111,312112,,,,,,,,,,,,,,,,,,,,
"Colgate Palmolive company","USABC",,,,325620,325412,325611,325612,311111,,,,,,,,,,,,,,,,,
"Conoco","USSFTC",,,,211111,324110,324191,324199,325110,211112,,,,,,,,,,,,,,,,
"Cyberguard","USSFTC",,,,334290,,,,,,,,,,,,,,,,,,,,,
"Daimler Chrysler Corporation","USABC","USSFTC",,,336111,336112,336310,336320,336330,336340,336350,336360,,,,,,,,,,,,,,
"Dell","USSFTC",,,,334111,334220,334310,333316,334118,325992,325910,334210,334613,333316,,,,,,,,,,,,
"Dow Chemical Company","USABC","USSFTC",,,325320,113210,311224,311225,325110,325120,325130,325180,325193,325194,325199,325211,325212,325220,332813,326140,324110,325194,326140,326150,327993,333413
"Eastman Kodak","USSFTC",,,,334118,322320,32212,325992,,,,,,,,,,,,,,,,,,
"Electronic Data Systems","USSFTC",,,,334111,334112,334118,,,,,,,,,,,,,,,,,,,
"EI Dupont de Nemours and Co.","USABC",,,,325520,327910,326130,339114,334412,334413,334416,334417,334418,334419,334290,33592,334112,334118,334510,339112,327120,327110,325612,334613,334614,
"Eli Lilly and Company","USABC",,,,325411,325412,325413,325414,,,,,,,,,,,,,,,,,,
"Exxon Mobile Company","USABC","USSFTC",,,211111,211112,324110,325110,,,,,,,,,,,,,,,,,,
"Fairchild Semiconductor Corporation","USABC",,,,334412,334413,,,,,,,,,,,,,,,,,,,,
"Fluor Corporation","USABC","USSFTC",,,212111,212112,212113,324110,324199,325110,325193,325193,325199,325211,,,,,,,,,,,,
"Ford Motor Company","USSFTC",,,,336111,336112,336310,336320,336330,336340,336350,336360,,,,,,,,,,,,,,
"Freeport-McMoRan Copper & Gold Inc.","USABC",,,,212234,212299,211111,211112,212221,,,,,,,,,,,,,,,,,
"General Electric Company","USITC1","USABC","USSFTC",,335210,33522,336412,336413,336415,336419,335110,33512,333611,333132,333131,335210,33461,334210,335312,333618,325520,32541,,,,
"General Motors Company","USABC","USSFTC",,,336111,336112,336120,336211,336310,336320,336330,336340,336350,336360,336370,336390,,,,,,,,,,
"Georgia Pacific Corporation","USABC",,,,322121,332999,325611,313230,322219,326140,321211,321212,321113,327420,322110,325520,325510,325311,325312,325910,322221,322212,322220,,,
"Goodyear Tire and Rubber Company","USABC",,,,322121,322291,325612,322219,332215,322212,327993,324122,327420,321211,321212,325220,322110,327910,325520,325119,325211,325510,325194,,,
"Guardian Industries, Inc.","USABC",,,,327211,327212,327213,,,,,,,,,,,,,,,,,,,
"Gulfstream Aerospace corporation","USABC",,,,336411,,,,,,,,,,,,,,,,,,,,,
"Hewlett-Packard","USSFTC",,,,334111,334112,334118,325910,,,,,,,,,,,,,,,,,,
"Herbalife Corporation","USABC",,,,325411,325412,325413,325414,,,,,,,,,,,,,,,,,,
"Honeywell Inc","USABC",,,,334512,335210,334290,335312,336320,334511,334519,,,,,,,,,,,,,,,
"IBM","USSFTC",,,,334111,334112,334118,333318,334413,,,,,,,,,,,,,,,,,
"Intel Corporation","CT1","USABC",,,334412,334413,334416,334417,334418,334112,334419,334210,334220,334290,,,,,,,,,,,,
"Johnson and Johnson International","USABC",,,,325611,325620,32541,339112,339113,,,,,,,,,,,,,,,,,
"Kimberly Clark Corporation","USABC",,,,325620,339112,339113,339114,339115,32212,322291,322320,,,,,,,,,,,,,,
"Knight Manufacturing Corporation ","USSFTC",,,,333111,,,,,,,,,,,,,,,,,,,,,
"Kraft Foods Asia","USABC",,,,311340,311930,311941,311824,311511,311920,311612,311513,311911,311421,311919,311999,,,,,,,,,,
"Lockheed Martin Corporation","USABC","USSFTC",,,334511,336414,336415,336419,336992,334220,334290,334511,,,,,,,,,,,,,,
"Lucent Technologies","USABC",,,,334210,334220,334290,334413,,,,,,,,,,,,,,,,,,
"Mars Incorporated","USABC",,,,311340,311351,311111,311212,311230,311412,311421,311422,311824,311919,311920,,,,,,,,,,,
"McGraw Hill Companies","USSFTC",,,,,,,,,,,,,,,,,,,,,,,,,
"Merck and Co.","USSFTC",,,,325411,325412,325413,325414,,,,,,,,,,,,,,,,,,
"Microsoft Corporation","USABC","USSFTC",,,334111,334112,334118,334210,334220,,,,,,,,,,,,,,,,,
"Monsanto","USABC",,,,325311,325320,325312,325314,,,,,,,,,,,,,,,,,,
"Motorola Inc","USABC","USSFTC",,,334210,334290,,,,,,,,,,,,,,,,,,,,
"Netro Corporation",,,,,,,,,,,,,,,,,,,,,,,,,,
"Newmont Mining Corporation","USABC",,,,212221,212222,212234,,,,,,,,,,,,,,,,,,,
"Nike Inc","USABC",,,,316210,315110,315190,315210,315220,315240,315990,,,,,,,,,,,,,,,
"Northrop Grumman","USABC",,,,336411,336412,336413,336414,336415,336419,336992,332993,334511,,,,,,,,,,,,,
"Nu Skin International, Inc.","USABC",,,,325620,,,,,,,,,,,,,,,,,,,,,
"Parker-Hannifin Corporation","USABC",,,,336412,336413,333413,333995,331511,332912,333611,326122,331491,339112,339113,339114,333996,333612,333911,333413,334513,334514,334519,339991,332991,
"Pfizer International Inc","USABC","USSFTC",,,325411,325412,325413,325414,,,,,,,,,,,,,,,,,,
"Phillip Morris International","USABC",,,,312230,111910,115114,,,,,,,,,,,,,,,,,,,
"Procter and Gamble Company",,,,,325620,325611,322291,325411,325412,325413,325414,,,,,,,,,,,,,,,
"Quaker Fabric Corporation",,,,,313110,313210,,,,,,,,,,,,,,,,,,,,
"Qualcomm","USABC","USSFTC",,,334210,334220,334290,334413,334418,334419,,,,,,,,,,,,,,,,
"Raytheon","USABC",,,,334511,336414,336415,336419,,,,,,,,,,,,,,,,,,
"Rockwell /Collins",,,,,336411,336412,336413,,,,,,,,,,,,,,,,,,,
"Rockwell Automation","USABC","USSFTC",,,334513,335314,,,,,,,,,,,,,,,,,,,,
"Schering Plough Corporation","USABC","USSFTC",,,325411,325412,325413,325414,,,,,,,,,,,,,,,,,,
"Sensient Technologies","USABC",,,,334513,335314,334513,,,,,,,,,,,,,,,,,,,
"Solectron Corporation","USABC",,,,336411,336412,336413,,,,,,,,,,,,,,,,,,,
"Sun Microsystems Inc","USABC",,,,334111,334112,334118,,,,,,,,,,,,,,,,,,,
"Textron Inc","USABC",,,,336411,333991,334515,332722,334417,332216,333112,336310,336350,336370,336390,336411,336414,,,,,,,,,
"Timken Company","CT2",,,,331210,333612,333613,,,,,,,,,,,,,,,,,,,
"TRW Overseas Inc","USABC",,,,336411,333991,334515,332722,334417,332216,333112,336310,336350,336370,336390,336411,336414,,,,,,,,,
"United Technologies Incorporated","USABC","USSFTC",,,333921,333922,333413,333414,333415,,,,,,,,,,,,,,,,,
"Unocal Corporation","USABC","USSFTC",,,211111,324110,324191,324199,325110,325180,325199,211112,,,,,,,,,,,,,,
"Whirlpool Corporation","USABC","USSFTC",,,335210,335224,335222,335221,335228,333415,,,,,,,,,,,,,,,,
"Wyeth Pharmaceuticals ","USABC",,,,325411,325412,,,,,,,,,,,,,,,,,,,,
