"Association",,,,
"National Oilseed Producers Association",,,,
"American Soybean Association","Favor","USMEFTC","CRS1",
"Soybean Producers of America",,,,
"National Cottonseed Products Association",,,,
"National Sunflower Association",,,,
"National Oilseed Processors Association",,,,
"U.S. Canola Association",,,,
"US Dry Bean Council",,,,
"USA Dry Pea and Lentil Council ",,,,
"National Association of Wheat Growers","Favor","HWM1",,
"U.S. Wheat Associates","Favor","HWM1",,
"National Corn Growers Association","Favor","USMEFTC","HWM1",
"American Corn Growers Association",,,,
"USA Rice Federation",,,,
"US Rice Producers Association",,,,
"National Sorghum Products",,,,
"National Barley Growers Association",,,,
"American Malting Barley Association",,,,
"Buckwheat Growers Association (of MN)",,,,
"US Grains Council",,,,
"American Potato Trade Alliance ",,,,
"National Potato Council ",,,,
"Washington State Potato Commission ",,,,
"United Fresh Produce Association",,,,
"Produce Marketing Association",,,,
"National Onion Association",,,,
"California Fresh Garlic Producers Association",,,,
"Florida Farmers",,,,
"Florida Fruit & Vegetable Association",,,,
"Florida Tomato Exchange",,,,
"American Seed Trade Association",,,,
"Western Growers",,,,
"Sunkist Growers ",,,,
"California Citrus Mutual ",,,,
"Indian River Citrus League ",,,,
"Florida Citrus Mutual",,,,
"US Apple Association",,,,
"Washington Apple Commission",,,,
"California Table Grape Commission",,,,
"National Grape Cooperative Association Inc. ",,,,
"California Strawberry Commission ",,,,
"North American Raspberry and Blackberry Association",,,,
"Wisconsin Berry Growers",,,,
"NYS Berry Growers Association",,,,
"Blue Diamond Growers",,,,
"California Walnut Commission",,,,
"Almond Board of California",,,,
"American Pistachio Growers",,,,
"California Pear Growers ",,,,
"California Dried Plum Board ",,,,
"Valley Fig Growers ",,,,
"California Cherry Advisory Board",,,,
"Northwest Pear Bureau",,,,
"California Tree Fruit Agreement",,,,
"California Fig Advisory Board ",,,,
"American Mushroom Institute",,,,
"Mushroom Farms of Pennsylvania",,,,
"American Nursery and Landscape Association",,,,
"California Cut Flower Commission",,,,
"Flower Growers of Puget Sound",,,,
"Floral Trade Council",,,,
"Leaf Tobacco Exporters Council",,,,
"US Tobacco Cooperative",,,,
"North Carolina Cotton Producers Association",,,,
"American Sugar Alliance ",,,,
"Florida Sugar Cane League, Inc.",,,,
"National Grain and Feed Association",,,,
"U.S. Beet Sugar Association ",,,,
"California Beet Growers Association, Ltd.",,,,
"American Peanut Council",,,,
"American Peanut Shellers Association",,,,
"American Peanut Product Manufacturers, Inc.",,,,
"National Cattleman's Beef Association","Favor","CRS1",,
"Ranchers-Cattlemen Action Legal Fund","Favor","HWM2",,
"Independent Cattlemen Of Wyoming",,,,
"Independent Cattlemen of Nebraska (ICON)",,,,
"Independent Cattlemen of Texas",,,,
"Kansas Cattlemen",,,,
"Montana Cattlemen's Association",,,,
"Nevada Livestock Association",,,,
"South Dakota Stockgrowers Association",,,,
"American Meat Institute",,,,
"National Meat Association",,,,
"US Meat Export Federation",,,,
"Cattle Producers of Washington",,,,
"Kansas Cattlemen?�?�??s Association",,,,
"American Dairy Products Institute ",,,,
"International Dairy Foods Association",,,,
"National Milk Producers Federation",,,,
"Land O'Lakes",,,,
"Northwest Dairy Association",,,,
"U.S. Dairy Export Council",,,,
"Alliance of Western Milk Producers ",,,,
"Dairy Farmers of America ",,,,
"Southeast Dairy Farmers Association",,,,
"California Dairy Campaign",,,,
"Farm And Ranch Freedom Alliance",,,,
"National Pork Producers Council",,,,
"USA Poultry and Egg Export Council",,,,
"United Egg Association ",,,,
"United Egg Producers ",,,,
"American Association of Meat Processors",,,,
"U.S. Poultry and Egg Council",,,,
"National Chicken Council ",,,,
"National Turkey Federation ",,,,
"American Sheep Industry Association",,,,
"American Dairy Goat Association",,,,
"American Meat Goat Association ",,,,
"American Beekeeping Federation",,,,
"Western Apicultural Society",,,,
"Fur Commission USA",,,,
"Fur Information Council of America",,,,
"U.S. Oil and Gas Association",,,,
"American Petroleum Institute",,,,
"National Mining Association",,,,
"West Virgina Coal Association",,,,
"Virginia Mining Association",,,,
"Bituminous Coal Operators Association",,,,
"Iron Mining Association of Minnesota",,,,
"Northwest Mining Association",,,,
"National Stone, Sand & Gravel Association ",,,,
"National Building Grantie Quarries Association",,,,
"Arizona Rock Products Association ",,,,
"Florida Limerock & Aggregate Institute ",,,,
"Missouri Limestone Producers Association ",,,,
"Industrial Minerals Association ?�?�?? North America ",,,,
"Mineral Wool Insulation Manufacturers Association ",,,,
"Georgia Mining Associaiton",,,,
"Pet Food Institute",,,,
"World Pet Association",,,,
"American Feed Industry Association",,,,
"North American Millers' Association",,,,
"Rice Millers' Association",,,,
"Corn Refiners Association",,,,
"National Confectioners Association of the U.S.",,,,
"Western Candy Conference",,,,
"American Frozen Food Institute ",,,,
"National Frozen Pizza Institute",,,,
"Grocery Manufacturers Association",,,,
"Institute of Shortening and Edible Oils",,,,
"National Association for the Specialty Food Trade ",,,,
"California Association of Winegrape Growers",,,,
"Canned Food Alliance",,,,
"American Fruit and Vegetable Processors and Growers Coalition",,,,
"Sunmaid Growers of California ",,,,
"Sunsweet Growers Inc. ",,,,
"American Dehydrated Onion and Garlic Association","Oppose","USITCO","USITCB","USITCM"
"Seafood Products Association",,,,
"Crawfish Processors' Alliance",,,,
"Fair Atlantic Salmon Trade",,,,
"Southern Shrimp Alliance",,,,
"National Fisheries Institute",,,,
"Pacific Seafood Processors Association ",,,,
"West Coast?�?�?�Seafood Processors Association",,,,
"At-sea Processors Association",,,,
"American Bakers Association",,,,
"Independent Bakers Association",,,,
"Biscuit and Cracker Manufacturers Association",,,,
"Snack Food Association",,,,
"National Pasta Association",,,,
"Tortilla Industry Association",,,,
"Peanut and Treenut Processors Association",,,,
"National Coffee Association of U.S.A.",,,,
"Specialty Coffee Association of America ",,,,
"Tea Association of the U.S.A.",,,,
"Juice Products Association",,,,
"American Beverage Association",,,,
"International Bottled Water Association",,,,
"The Beer Institute",,,,
"The Wine Institute",,,,
"Distilled Spirits Council of the United States ","Favor","USMEFTC",,
"Cigar Association of America",,,,
"Specialty Tobacco Council",,,,
"National Council of Textile Organizations",,,,
"National Textile Association",,,,
"United States Industrial Fabrics Institute",,,,
"American Manufacturing Trade Action Coalition ",,,,
"American Apparel and Footwear Association","Favor","USMEFTC",,
"American Fiber Manufacturers Association",,,,
"The Schiffli Lace and Embroidery Manufacturers?�?�?� ",,,,
"Association of the Nonwoven Fabrics Industry",,,,
"Chemical Fabrics and Films Association",,,,
"National Cotton Council",,,,
"Synthetic Yarn and Fiber Association",,,,
"Carpet and Rug Institute",,,,
"World Floor Covering Association",,,,
"Home Fashion Products Association",,,,
"Textile Bag and Packaging Association",,,,
"Industrial Fabrics Association International",,,,
"The Cordage Institute",,,,
"Canvas Products Association",,,,
"The Hosiery Association",,,,
"National Fashion Accessories Association",,,,
"Fashion Jewelry and Accessories Trade Association",,,,
"Leather Industries of America",,,,
"North American Association of Uniform Manufacturers",,,,
"Outdoor Industry Association",,,,
"United States Hide, Skin and Leather Association",,,,
"Rubber and Plastic Footwear Manufacturers Association",,,,
"Travel Goods Association",,,,
"Southeastern Lumber Manufactuerers Association",,,,
"Western Wood Products Association",,,,
"Southern Forest Products Association",,,,
"American Hardwood Export Council",,,,
"Western Hardwood Association",,,,
"American Walnut Manufacturers Association",,,,
"Hardwood Federation",,,,
"International Wood Products Association",,,,
"APA Engineered Wood Association",,,,
"Wood Product Manufacturers Association",,,,
"US Lumber Coalition",,,,
"Fair Lumber Coalition",,,,
"Coalition for Fair Lumber Imports",,,,
"Softwood Export Council",,,,
"American Softwoods",,,,
"Railway Tie Association",,,,
"Treated Wood Council",,,,
"Western Wood Preservers Institute",,,,
"Hardwood Plywood and Veneer Association ",,,,
"American Forest and Paper Association",,,,
"Paperboard Packaging Council",,,,
"Foodservice Packaging Institute",,,,
"Paper Shipping Sack Manufacturers' Association",,,,
"Business Solutions Association",,,,
"Envelope Manufacturers Association",,,,
"Composite Lumber Manufacturers Association",,,,
"Window and Door Manufacturers Association",,,,
"Architectural Woodwork Institute",,,,
"Wood Moulding and Millwork Producers Association",,,,
"National Wood Pallet and Container Association",,,,
"Manufactured Housing Institute",,,,
"Fibre Box Association",,,,
"Association of Independent Corrugated Converters",,,,
"Manufacturers Representatives of America",,,,
"National Petrochemical and Refiners Association",,,,
"Western States Petroleum Association",,,,
"Independent Petroleum Institute of America",,,,
"Asphalt Institute",,,,
"National Asphalt Pavement Association",,,,
"Asphalt Roofing Manufacturers Association",,,,
"National Lubricating Grease Institute",,,,
"Independent Lubricant Manufacturers Association",,,,
"American Chemistry Council","Favor","USMEFTC",,
"Society of Chemical Manufacturers and Affiliates",,,,
"American Coke and Coal Chemicals Institute",,,,
"American Fuel and Petrochemical Manufacturers",,,,
"Color Pigment Manufacturers Association",,,,
"Chlorine Institute",,,,
"International Carbon Black Association",,,,
"Renewable Fuels Association",,,,
"Growth Energy",,,,
"Pine Chemicals Association",,,,
"Methanol Institute",,,,
"Society of the Plastics Industry",,,,
"Western Plastics Association",,,,
"PET Resin Association",,,,
"Methacrylate Producers Association ",,,,
"Basic Acrylic Monomer Manufacturers",,,,
"EPS Industry Alliance",,,,
"International Institute of Synthetic Rubber Producers",,,,
"Fertilizer Institute",,,,
"Chemical Producers and Distributors Association",,,,
"CropLife America",,,,
"Generic Pharmaceutical Association",,,,
"Consumer Healthcare Products Association",,,,
"Biotechnology Industry Association",,,,
"American Coatings Association",,,,
"Adhesive and Sealant Council",,,,
"American Cleaning Institute",,,,
"Consumer Specialty Products Association",,,,
"Personal Care Products Council",,,,
"National Association of Printing Ink Manufacturers",,,,
"Institute of Makers of Explosives",,,,
"International Imaging Industry Association",,,,
"Polyethylene Retail Carrier Bag Committee",,,,
"Flexible Packaging Association",,,,
"Plastics Pipe Institute",,,,
"Plastic Pipe and Fittings Association",,,,
"Polyurethane Foam Association",,,,
"National Association for PET Container Resources",,,,
"Rubber Manufacturers Association",,,,
"Association of Rubber Products Manufacturers",,,,
"National Association of Hose and Accessories Distribution",,,,
"Tire Industry Association",,,,
"National Lime Association",,,,
"American Association of Ceramic Component Manufacturers",,,,
"Glass Association of North America ",,,,
"National Glass Association",,,,
"Insulating Glass Manufacutrers Alliance",,,,
"Portland Cement Association",,,,
"Slag Cement Association",,,,
"American Concrete Institute",,,,
"National Ready Mixed Concrete Association",,,,
"National Concrete Masonry Institute ",,,,
"National Precast Concrete Association",,,,
"Gypsum Association",,,,
"Unified Abrasive Manufacturers Association",,,,
"Coated Abrasives Fabricators Association ",,,,
"Porcelain Enamel Institute",,,,
"Tile Council of North America ",,,,
"Brick Industry Association",,,,
"Steel Manufacturers Association",,,,
"American Iron and Steel Institute",,,,
"Specialty Steel Industry of North America",,,,
"American Institute for International Steel",,,,
"Steel Tube Institute of North America",,,,
"National Corrugated Steel Pipe Association",,,,
"Committee on Pipe and Tube Imports",,,,
"Cold Finished Steel Bar Institute",,,,
"American Wire Producers Association",,,,
"Aluminum Association",,,,
"Aluminum Extruders Council",,,,
"International Copper Association",,,,
"Copper & Brass Fabricators Council",,,,
"American Tin Trade Association ",,,,
"International Zinc Association",,,,
"Silver Institute",,,,
"Minor Metals Trade Association",,,,
"International Magnesium Association",,,,
"International Precious Metals Institute ",,,,
"Forging Industry Association",,,,
"American Foundry Society",,,,
"Steel Founders Society of America",,,,
"Municipal Castings Fair Trade Council",,,,
"Non-Ferrous Founders' Society ",,,,
"Precision Metalforming Association",,,,
"National Tooling and Machining Association",,,,
"Powder Metallurgy Parts Association",,,,
"Metal Powder Industries Federation",,,,
"Closure and Container Manufacturers Association",,,,
"American Edged Products Manufacturers Association",,,,
"American Knife and Tool Institute",,,,
"The Hand Tools Institute",,,,
"American Hardware Manufacturers Association",,,,
"Metal Building Manufacturers Association",,,,
"Metal Construction Association",,,,
"Truss Plate Institute",,,,
"Steel Tank Institute and Steel Plate Fabricators Association",,,,
"Steel Door Institute",,,,
"Steel Window Institute",,,,
"National Association of Architectural Metal Manufacturers",,,,
"Pressure Vessel Manufacturers Association",,,,
"American Boiler Manufacturers Association",,,,
"Can Manufacturers' Institute",,,,
"International Staple, Nail and Tool Association",,,,
"Spring Manufacturers Institute",,,,
"Wire Fabricators Association",,,,
"Precision Machined Products Association",,,,
"Industrial Fasteners Institute",,,,
"Valve Manufacturers Association of America",,,,
"Plumbing Manufacturers Institute",,,,
"American Bearing Manufacturers Association",,,,
"Sporting Arms and Ammunitions Manufacturers Institute",,,,
"Association of Equipment Manufacturers","Favor","USMEFTC",,
"Farm Equipment Manufacturers Association",,,,
"Outdoor Power Equipment Institute",,,,
"Petroleum Equipment Suppliers Association",,,,
"Food Processing Suppliers Association",,,,
"Semiconductor Industry Association",,,,
"Semiconductor Equipment and Materials International",,,,
"Wood Machinery Manufacturers of America",,,,
"Association of Suppliers to the Paper Industry",,,,
"NPES - The Association for Suppliers of Printing, Publishing and Converting Technologies",,,,
"American Textile Machinery Association",,,,
"American Precision Optics Manufacturers Association",,,,
"Institute of Clean Air Companies",,,,
"Filter Manufacturers Council",,,,
"Air Movement and Control Association",,,,
"Industrial Heating Equipment Association",,,,
"Air-conditioning Heating and Refrigeration Institute",,,,
"American Mold Builders Association",,,,
"Association of Manufacturing Technology",,,,
"Michigan Tooling Industry",,,,
"Rochester Tooling and Machining Association",,,,
"Tooling Manufacturing and Technologies Association",,,,
"The Association of Manufacturers of Power Generating Systems",,,,
"Gas Turbine Association",,,,
"American Gear Manufacturers Association",,,,
"Motor Equipment Manufacturers Association","Favor","USMEFTC",,
"Mechanical Power Transmission Association",,,,
"Power Transmission Distributors Association",,,,
"American Chain Association",,,,
"Engine Manufacturers Association",,,,
"Marine Engine Manufacturers Association",,,,
"Hydraulic Institute",,,,
"Sump and Sewage Pump Manufacturers Association",,,,
"Submersible Wastewater Pump Association",,,,
"Compressed Air and Gas Institute",,,,
"Petroleum Equipment Institute",,,,
"National Elevator Industry, Inc.",,,,
"Material Handling Industry of America",,,,
"Conveyor Equipment Manufacturers Association",,,,
"Industrial Truck Association",,,,
"Power Tool Institute",,,,
"Resistance Welding Manufacturing Alliance",,,,
"Packaging Machinery Manufacturers Institute",,,,
"National Fluid Power Association",,,,
"FPDA Motion and Control Network",,,,
"Scale Manufacturers Association",,,,
"Information Technology Industry Council",,,,
"TechAmerica",,,,
"Computer and Communications Industry Association",,,,
"Automotive Aftermarket Industry Association",,,,
"National Marine Manufacturers Association",,,,
"Retail Solution Providers Association",,,,
"ATM Industry Association",,,,
"Consumer Electronics Association",,,,
"Telecommunications Industry Association",,,,
"IPC?�?�??Association Connecting Electronics Industries",,,,
"Electronic Components Industries Association",,,,
"Power Sources Manufacturers Association",,,,
"Medical Device Manufacturers Association",,,,
"Advanced Medical Technology Association",,,,
"Medical Equipment and Technology Association",,,,
"Ultrasonic Industry Association",,,,
"Aerospace Industries Association",,,,
"General Aviation Manufacturers Association",,,,
"ISA - Instrumentation, Systems, and Automation Society / Automation Federation",,,,
"National Electrical Manufacturers Association","Favor","USMEFTC",,
"Fluid Controls Institute",,,,
"Analytical and Life Science Systems Association",,,,
"Food Industry Processors Association",,,,
"International Irradiation Association",,,,
"American Watchmakers-Clockmakers Institute",,,,
"Content Delivery and Storage Association/ Media and Entertainment Services Alliance",,,,
"American Lighting Association",,,,
"Association of Home Appliance Manufacturers",,,,
"Gas Appliance Manufacturers Association",,,,
"The Transformer Association",,,,
"Electrical Manufacturing and Coil Winding Association",,,,
"Relay and Switch Industry Association",,,,
"Electricity Storage Association",,,,
"National Alliance for Advanced Technology Batteries",,,,
"Battery Council International",,,,
"Independent Battery Manufacturers Association",,,,
"Portable Rechargeable Battery Association",,,,
"Measurement, Control & Automation Association ",,,,
"American Automotive Policy Council","Favor","USMEFTC",,
"Alliance of Automobile Manufacturers",,,,
"Truck Manufacturers Association",,,,
"NTEA,?�?�?�the?�?�?�Association for the Work Truck Industry",,,,
"Truck Trailer Manufacturers Association",,,,
"Recreation Vehicle Industry Association",,,,
"The National Association of Trailer Manufacturer",,,,
"Motor and Equipment Manufacturers Association",,,,
"National Engine Parts Manufacturers Association",,,,
"Specialty Equipment Market Association",,,,
"Railway Supply Institute / American Railway Car Institute",,,,
"Railway Systems Suppliers, Inc.",,,,
"Railway Engineering-Maintenance Suppliers Association, Inc.",,,,
"Aviation Distributors and Manufacturers Association",,,,
"Modification and Replacement Parts Association ",,,,
"Shipbuilders Council of America",,,,
"American Shipbuilding Association",,,,
"Motorcycle Industry Council",,,,
"National Defense Industrial Association",,,,
"Kitchen?�?�?�Cabinet?�?�?�Manufactures?�?�?�Association ",,,,
"American Furniture Manufacturers Committee for Legal Trade",,,,
"American Home Furnishings Alliance",,,,
"National Home Furnishings Association",,,,
"International Sleep Products Association",,,,
"Window Covering Manufacturers Association",,,,
"Pharmaceutical Research Manufacturers of America","Favor","USMEFTC",,
"Hearing Industries Association",,,,
"Plastic Loose Fill Council",,,,
"Jewelers of America",,,,
"The Silver Institute",,,,
"National Sporting Goods Association",,,,
"Sport and Fitness Industry Association/Sporting Goods Manucturers Association",,,,
"Toy Industry Association",,,,
"National Office Products Alliance",,,,
"International Sign Association",,,,
"Gasket Fabricators Association",,,,
"Fluid Sealing Association",,,,
"Cleaning Equipment Trade Association",,,,
"Casket and Funeral Supply Association of North America",,,,
"US Grains Council","Favor","HWM1",,
"Wheat Export Trade Education Committee","Favor","USMEFTC","USITC0","HWM1"
"Hawaii Macadamia Nut Association",,,,
"Chocolate Manufacturers Association",,,,
"Association of Food Industries ",,,,
"International Seed Federation (ISF) ",,,,
"North American Export Grain Association ",,,,
"WineAmerica ",,,,
"Sewn Products Equipment and Suppliers of the Americas",,,,
"Salt Institute",,,,
"Animal Health Institute",,,,
"California Date Commission",,,,
"Dairylea Cooperative",,,,
"Idaho Barley Commission",,,,
"Idaho Grain Producers Association",,,,
"Kansas Association of Wheat Growers",,,,
"Kentucky Small Grain Growers Association",,,,
"Montana Grain Growers Association",,,,
"National Renderers Association",,,,
"North Dakota Grain Growers Association",,,,
"Oklahoma Wheat Growers",,,,
"Texas Wheat Producers Association",,,,
"United Producers, Inc. ",,,,
"JEDEC Solid State Technology Association",,,,
"Oregon Potato Commission",,,,
"PMMI The Association for Packaging and Processing Technologies",,,,
"Oregon Livestock Producers Association",,,,
"California Raisin Marketing Board",,,,
"California Seed Association",,,,
"Georgia Poultry Federation",,,,
"Grain and Feed Association of Illinois",,,,
"Minnesota Grain and Feed Association",,,,
"Mississippi Poultry Association",,,,
"Nebraska Grain and Feed Association",,,,
"Oklahoma Grain and Feed Association",,,,
"South Carolina Poultry Federation",,,,
"Texas Grain & Feed Association ",,,,
"Texas Poultry Federation ",,,,
"The Poultry Federation (Arkansas, Missouri, Oklahoma) ",,,,
"Maryland And Virginia Milk Producers Cooperative Association, Inc. ",,,,
"Michigan Milk Producers Association ",,,,
"Western United Dairymen",,,,
"Washington Mint Growers Association",,,,
"United Dairymen of Arizona",,,,
"Montana Stockgrowers Association",,,,
"Automotive Trade Policy Council",,,,
"Dakota Resource Council",,,,
"North Dakota Farmers Union",,,,
"California Canning Peach Association",,,,
"Family Dairies USA",,,,
"Olive Growers Council of California","Oppose","USITCM",,
"California Olive Association","Oppose","USITCM",,
"North Dakota Corn Growers",,,,
"Northwest Horticultural Association",,,,
"The American Yarn Spinners Association",,,,
"Western Pistachio Association",,,,
"California Cling Peach Board",,,,
"North American Association of Food Equipment Manufacturers",,,,
"The Vision Council",,,,
"American Watch Association",,,,
"US Cattleman's Association",,,,
"American Sugar Cane League",,,,
"California Rice Commission",,,,
"American Sugarbeet Growers Association",,,,
"Broom Manufacturers of the United States",,,,
"American Pipe Fittings Association",,,,
"American Textile Manufacturers Institute",,,,
"California Avocado Commission",,,,
"Footwear Industries of America",,,,
"Nonferrous Metals Producers Committee",,,,
"Work Glove Manufacturers Assoc.",,,,
"American Peanut Growers Group",,,,
"Texas Pecan Growers Association",,,,
"Gulf Citrus Growers Association ",,,,
"Southeastern Peanut Association",,,,
"Meat Industry Trade Policy Council",,,,
"Rio Grande Valley Sugar Growers",,,,
"Hawaiian Sugar Planters Association",,,,
"Sugar Cane Growers Cooperative of Florida",,,,
"Glass Packaging Institute",,,,
"Independent Zinc Alloyers Association",,,,
"West Indies Rum and Spirits Producers Association",,,,
"National Knitwear & Sportswear Association",,,,
"US Cane Sugar Refiners Association",,,,
"Texas Vegetable Association",,,,
"Cigar Association of America",,,,
"Texas Citrus Mutual",,,,
"Virginia-Carolina Peanut Association",,,,
"Southwestern Peanut Shellers Association",,,,
"American Architectural Manufacturers Association",,,,
"American Hardboard Association",,,,
"Cedar Shake & Shingle Bureau",,,,
"Composite Can & Tube Institute",,,,
"Knitted Textile Association ",,,,
"National Association of Band Instrument Manufacturers ",,,,
"National Grain Trade Council",,,,
"National Hardwood Lumber Association",,,,
"National Particleboard Association",,,,
"New Mexico Wine Growers Assoc. ",,,,
"Northeastern Loggers Association ",,,,
"Polyisocyanurate Insulation Manufacturers Association ",,,,
"Sorptive Minerals Institute ",,,,
"Walnut Council",,,,
"Waterbed Mfrs. Assoc. ",,,,
"Western Red Cedar Lumber Association ",,,,
"American Oat Association",,,,
"California Rice Industry Association",,,,
"International Apple Institute",,,,
"Milk Industry Foundation",,,,
"Rice Growers Association of California",,,,
"National Asparagus Commission",,,,
"National Association for Surface Finishing",,,,
"National Candle Association",,,,
"Nickel Institute",,,,
"California Pork Producers Association",,,,
"New York Pork Producers Co-op. Inc",,,,
"South Dakota Dairy Producers",,,,
"Utah Pork Producers",,,,
"American Composites Manufacturers Association",,,,
"Colorado Livestock Association",,,,
"Colorado Pork Producers Council",,,,
"Arkansas Soybean Association",,,,
"Livestock Exporters Association of the USA",,,,
"Corn Producers Association of Texas",,,,
"Florida Cattlemen's Association",,,,
"Florida Forestry Association",,,,
"Grain and Feed Association of Illinois",,,,
"Hawaii Cattlemen's Council, Inc.",,,,
"Idaho Cattle Association",,,,
"Illinois Beef Association",,,,
"Illinois Corn Growers Association",,,,
"Illinois Pork Producers Association",,,,
"Illinois Soybean Growers",,,,
"Indiana Beef Cattle Association",,,,
"Indiana Corn Growers Association",,,,
"Indiana Soybean Alliance",,,,
"Iowa Cattlemen's Association",,,,
"Iowa Corn Growers Association",,,,
"Iowa Pork Producers Association",,,,
"Iowa Soybean Association",,,,
"Kansas Corn Growers Association",,,,
"Kansas Grain and Feed Association",,,,
"Kansas Livestock Association",,,,
"Kansas Pork Association",,,,
"Kansas Soybean Association",,,,
"Kentucky Forest Industries Association",,,,
"Kentucky Paint Council",,,,
"Kentucky Pork Producers Association",,,,
"Louisiana Cattlemen's Association",,,,
"Louisiana Forestry Association",,,,
"Maryland & Virginia Milk Producers Cooperative",,,,
"Michigan Cattlemen's Association",,,,
"Michigan Pork Producers Association",,,,
"Minnesota Corn Growers",,,,
"Minnesota Grain & Feed Association",,,,
"Minnesota Pork Producers Association",,,,
"Mississippi Poultry Association",,,,
"Missouri Cattlemen's Association",,,,
"Missouri Corn Growers Association",,,,
"Missouri Pork Association",,,,
"Missouri Soybean Association",,,,
"Montana Pork Producers Council",,,,
"Nebraska Cattlemen's Association",,,,
"Nebraska Corn Board",,,,
"Nebraska Pork Producers Association",,,,
"New York Beef Producer's Association",,,,
"North Carolina Pork Council",,,,
"North Dakota Corn Growers",,,,
"Ohio Cattlemen's Association",,,,
"Ohio Corn & Wheat Growers Association",,,,
"Ohio Pork Council",,,,
"Oklahoma Cattlemen's Association",,,,
"Oklahoma Pork Council",,,,
"Oregon Cattlemen's Association",,,,
"Oregon Dairy Farmers Association",,,,
"Oregon Forest Industries Council",,,,
"South Carolina Cattlemen's Association",,,,
"South Dakota Grain & Feed Association",,,,
"Tennessee Cattlemen's Association",,,,
"Tennessee Pork Producers Association",,,,
"Texas Forestry Association",,,,
"Texas Pork Producers Association",,,,
"The Missouri Dairy Association",,,,
"Virginia Cattlemen's Association",,,,
"Washington Cattle Feeders Association",,,,
"Wisconsin Corn Growers Association",,,,
"Wisconsin Pork Producers Association",,,,
"Juvenile Products Manufacturers Association",,,,
"Midwest Dairy Coalition",,,,
"American Shrimp Processors Association",,,,
"Select Milk Producers",,,,
"Cranberry Marketing Committee",,,,
"Medical Imaging and Technology Alliance",,,,
"California Cherries",,,,
"Water & Wastewater Equipment Manufacturers Association Inc",,,,
"Plains Cotton Cooperative Association",,,,
"True Source Honey",,,,
"Association of Electrical and Medical Imaging Equipment Manufacturers",,,,
